شهر رمضان,1 رمضان 1448 هـ,8 فبراير 2027 م
عيد الفطر,1 شوال 1448 هـ,9 مارس 2027 م
عشر ذو الحجة,1 ذو الحجة 1448 هـ,7 مايو 2027 م
عيد الأضحى,10 ذو الحجة 1448 هـ,16 مايو 2027 م
شهر رمضان,1 رمضان 1449 هـ,28 يناير 2028 م
عيد الفطر,1 شوال 1449 هـ,26 فبراير 2028 م
عشر ذو الحجة,1 ذو الحجة 1449 هـ,26 أبريل 2028 م
عيد الأضحى,10 ذو الحجة 1449 هـ,5 مايو 2028 هـ
شهر رمضان,1 رمضان 1450 هـ,16 يناير 2029 م
عيد الفطر,1 شوال 1450 هـ,15 فبراير 2029 م
عشر ذو الحجة,1 ذو الحجة 1450 هـ,15 أبريل 2029 م
عيد الأضحى,10 ذو الحجة 1450 هـ,24 أبريل 2029 م
